kind	legacyId	owner	disposition	replacementId
java	com/salesforce/revoman/ReVoman$SequenceResult|METHOD|copy|(Ljava/util/List;Lcom/salesforce/revoman/output/StopReason;)Lcom/salesforce/revoman/ReVoman$SequenceResult;|0x0019|0x0011	CS2a	internalized	internal-runtime/KickRunner sequence result
java	com/salesforce/revoman/ReVoman$SequenceResult|METHOD|copy$default|(Lcom/salesforce/revoman/ReVoman$SequenceResult;Ljava/util/List;Lcom/salesforce/revoman/output/StopReason;ILjava/lang/Object;)Lcom/salesforce/revoman/ReVoman$SequenceResult;|0x0019|0x1009	CS2a	internalized	internal-runtime/KickRunner sequence result
java	com/salesforce/revoman/ReVoman$SequenceResult|METHOD|equals|(Ljava/lang/Object;)Z|0x0019|0x0001	CS2a	internalized	internal-runtime/KickRunner sequence result
java	com/salesforce/revoman/ReVoman$SequenceResult|METHOD|getReports|()Ljava/util/List;|0x0019|0x0011	CS2a	internalized	internal-runtime/KickRunner sequence result
java	com/salesforce/revoman/ReVoman$SequenceResult|METHOD|getStopReason|()Lcom/salesforce/revoman/output/StopReason;|0x0019|0x0011	CS2a	internalized	internal-runtime/KickRunner sequence result
java	com/salesforce/revoman/ReVoman$SequenceResult|METHOD|hashCode|()I|0x0019|0x0001	CS2a	internalized	internal-runtime/KickRunner sequence result
java	com/salesforce/revoman/ReVoman$SequenceResult|METHOD|toString|()Ljava/lang/String;|0x0019|0x0001	CS2a	internalized	internal-runtime/KickRunner sequence result
java	com/salesforce/revoman/internal/postman/DynamicVariableGeneratorKt|METHOD|dynamicVariableGenerator|(Ljava/lang/String;Lcom/salesforce/revoman/internal/postman/PostmanSDK;)Ljava/lang/String;|0x0031|0x0019	CS2a	internalized	internal-runtime/LegacyRundownProgress dynamic generator
java	com/salesforce/revoman/internal/postman/Info|CLASS|<class>|Lcom/salesforce/revoman/internal/postman/Info;|0x0031|0x0000	CS2a	removed	immutable request and response snapshots
java	com/salesforce/revoman/internal/postman/Info|CONSTRUCTOR|<init>|(Ljava/lang/String;)V|0x0031|0x0001	CS2a	removed	immutable request and response snapshots
java	com/salesforce/revoman/internal/postman/Info|FIELD|requestName|Ljava/lang/String;|0x0031|0x0011	CS2a	removed	immutable request and response snapshots
java	com/salesforce/revoman/internal/postman/Info|METHOD|component1|()Ljava/lang/String;|0x0031|0x0011	CS2a	removed	immutable request and response snapshots
java	com/salesforce/revoman/internal/postman/Info|METHOD|copy|(Ljava/lang/String;)Lcom/salesforce/revoman/internal/postman/Info;|0x0031|0x0011	CS2a	removed	immutable request and response snapshots
java	com/salesforce/revoman/internal/postman/Info|METHOD|copy$default|(Lcom/salesforce/revoman/internal/postman/Info;Ljava/lang/String;ILjava/lang/Object;)Lcom/salesforce/revoman/internal/postman/Info;|0x0031|0x1009	CS2a	removed	immutable request and response snapshots
java	com/salesforce/revoman/internal/postman/Info|METHOD|equals|(Ljava/lang/Object;)Z|0x0031|0x0001	CS2a	removed	immutable request and response snapshots
java	com/salesforce/revoman/internal/postman/Info|METHOD|hashCode|()I|0x0031|0x0001	CS2a	removed	immutable request and response snapshots
java	com/salesforce/revoman/internal/postman/Info|METHOD|toString|()Ljava/lang/String;|0x0031|0x0001	CS2a	removed	immutable request and response snapshots
java	com/salesforce/revoman/internal/postman/PostmanSDK|CLASS|<class>|Lcom/salesforce/revoman/internal/postman/PostmanSDK;|0x0031|0x0000	CS2a	internalized	internal-runtime/PostmanExecutionState
java	com/salesforce/revoman/internal/postman/PostmanSDK|CONSTRUCTOR|<init>|(Lcom/salesforce/revoman/internal/json/MoshiReVoman;Ljava/lang/String;Lcom/salesforce/revoman/internal/postman/RegexReplacer;Ljava/util/Map;)V|0x0031|0x0001	CS2a	removed	journal-backed variable resolver
java	com/salesforce/revoman/internal/postman/PostmanSDK|CONSTRUCTOR|<init>|(Lcom/salesforce/revoman/internal/json/MoshiReVoman;Ljava/lang/String;Lcom/salesforce/revoman/internal/postman/RegexReplacer;Ljava/util/Map;ILkotlin/jvm/internal/DefaultConstructorMarker;)V|0x0031|0x1001	CS2a	removed	journal-backed variable resolver
java	com/salesforce/revoman/internal/postman/PostmanSDK|FIELD|collectionVariables|Lcom/salesforce/revoman/output/postman/PostmanEnvironment;|0x0031|0x0011	CS2a	internalized	internal-runtime/PostmanExecutionState
java	com/salesforce/revoman/internal/postman/PostmanSDK|FIELD|currentStepReport|Lcom/salesforce/revoman/output/report/StepReport;|0x0031|0x0001	CS2a	internalized	internal-runtime/PostmanExecutionState
java	com/salesforce/revoman/internal/postman/PostmanSDK|FIELD|environment|Lcom/salesforce/revoman/output/postman/PostmanEnvironment;|0x0031|0x0011	CS2a	internalized	internal-runtime/PostmanExecutionState
java	com/salesforce/revoman/internal/postman/PostmanSDK|FIELD|environmentName|Ljava/lang/String;|0x0031|0x0001	CS2a	internalized	internal-runtime/PostmanExecutionState
java	com/salesforce/revoman/internal/postman/PostmanSDK|FIELD|globals|Lcom/salesforce/revoman/output/postman/PostmanEnvironment;|0x0031|0x0011	CS2a	internalized	internal-runtime/PostmanExecutionState
java	com/salesforce/revoman/internal/postman/PostmanSDK|FIELD|info|Lcom/salesforce/revoman/internal/postman/Info;|0x0031|0x0001	CS2a	removed	immutable request and response snapshots
java	com/salesforce/revoman/internal/postman/PostmanSDK|FIELD|request|Lcom/salesforce/revoman/internal/postman/PostmanSDK$Request;|0x0031|0x0001	CS2a	removed	immutable request and response snapshots
java	com/salesforce/revoman/internal/postman/PostmanSDK|FIELD|response|Lcom/salesforce/revoman/internal/postman/PostmanSDK$Response;|0x0031|0x0001	CS2a	removed	immutable request and response snapshots
java	com/salesforce/revoman/internal/postman/PostmanSDK|FIELD|rundown|Lcom/salesforce/revoman/output/Rundown;|0x0031|0x0001	CS2a	internalized	internal-runtime/PostmanExecutionState
java	com/salesforce/revoman/internal/postman/PostmanSDK|FIELD|variables|Lcom/salesforce/revoman/internal/postman/PostmanSDK$Variables;|0x0031|0x0011	CS2a	removed	VariableScopesView and callback-scoped editors
java	com/salesforce/revoman/internal/postman/PostmanSDK|FIELD|xml2Json|Lcom/salesforce/revoman/internal/postman/PostmanSDK$Xml2Json;|0x0031|0x0011	CS2a	removed	JsonCodec
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|evaluateJS|(Ljava/lang/String;Ljava/util/Map;)Lorg/graalvm/polyglot/Value;|0x0031|0x0011	CS2a	removed	internal-runtime/PmSandbox
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|evaluateJS$default|(Lcom/salesforce/revoman/internal/postman/PostmanSDK;Ljava/lang/String;Ljava/util/Map;ILjava/lang/Object;)Lorg/graalvm/polyglot/Value;|0x0031|0x1009	CS2a	removed	internal-runtime/PmSandbox
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|from|(Lcom/salesforce/revoman/internal/postman/template/Request;)Lcom/salesforce/revoman/internal/postman/PostmanSDK$Request;|0x0031|0x0011	CS2a	removed	immutable request and response snapshots
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|getCurrentStepReport|()Lcom/salesforce/revoman/output/report/StepReport;|0x0031|0x0011	CS2a	internalized	internal-runtime/PostmanExecutionState
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|getInfo|()Lcom/salesforce/revoman/internal/postman/Info;|0x0031|0x0011	CS2a	removed	immutable request and response snapshots
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|getRegexReplacer$com_salesforce_revoman_revoman|()Lcom/salesforce/revoman/internal/postman/RegexReplacer;|0x0031|0x0011	CS2a	removed	journal-backed variable resolver
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|getRequest|()Lcom/salesforce/revoman/internal/postman/PostmanSDK$Request;|0x0031|0x0011	CS2a	removed	immutable request and response snapshots
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|getResponse|()Lcom/salesforce/revoman/internal/postman/PostmanSDK$Response;|0x0031|0x0011	CS2a	removed	immutable request and response snapshots
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|getRundown|()Lcom/salesforce/revoman/output/Rundown;|0x0031|0x0011	CS2a	internalized	internal-runtime/PostmanExecutionState
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|getVariables$annotations|()V|0x0031|0x1009	CS2a	internalized	internal-runtime/PostmanExecutionState
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|hasScopedValue$com_salesforce_revoman_revoman|(Ljava/lang/String;)Z|0x0031|0x0011	CS2a	internalized	internal-runtime/PostmanExecutionState
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|jsonStrToObj|(Ljava/lang/String;)Lorg/graalvm/polyglot/Value;|0x0031|0x0011	CS2a	removed	JsonPojoUtils.jsonToPojo then JsonCodec
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|nextRequestFor$com_salesforce_revoman_revoman|(Lcom/salesforce/revoman/output/report/Step;)Ljava/lang/String;|0x0031|0x0011	CS2a	internalized	internal-runtime/PostmanExecutionState
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|nextRequestSetFor$com_salesforce_revoman_revoman|(Lcom/salesforce/revoman/output/report/Step;)Z|0x0031|0x0011	CS2a	internalized	internal-runtime/PostmanExecutionState
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|pmTestAssertionsFor$com_salesforce_revoman_revoman|(Lcom/salesforce/revoman/output/report/Step;)Ljava/util/List;|0x0031|0x0011	CS2a	internalized	internal-runtime/PostmanExecutionState
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|recordNextRequest$com_salesforce_revoman_revoman|(Lcom/salesforce/revoman/output/report/Step;Ljava/lang/String;Z)V|0x0031|0x0011	CS2a	internalized	internal-runtime/PostmanExecutionState
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|recordPmTestAssertions$com_salesforce_revoman_revoman|(Lcom/salesforce/revoman/output/report/Step;Ljava/util/List;)V|0x0031|0x0011	CS2a	internalized	internal-runtime/PostmanExecutionState
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|recordSkipRequest$com_salesforce_revoman_revoman|(Lcom/salesforce/revoman/output/report/Step;)V|0x0031|0x0011	CS2a	internalized	internal-runtime/PostmanExecutionState
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|resetCaptureForStep$com_salesforce_revoman_revoman|(Lcom/salesforce/revoman/output/report/Step;)V|0x0031|0x0011	CS2a	internalized	internal-runtime/PostmanExecutionState
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|resolveScopedValue$com_salesforce_revoman_revoman|(Ljava/lang/String;)Ljava/lang/Object;|0x0031|0x0011	CS2a	internalized	internal-runtime/PostmanExecutionState
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|scopeForKey$com_salesforce_revoman_revoman|(Ljava/lang/String;)Lcom/salesforce/revoman/output/postman/PostmanEnvironment;|0x0031|0x0011	CS2a	internalized	internal-runtime/PostmanExecutionState
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|setCurrentStepReport|(Lcom/salesforce/revoman/output/report/StepReport;)V|0x0031|0x0011	CS2a	internalized	internal-runtime/PostmanExecutionState
